,time,prophet_pred,arima_pred,values,precinct_number
109,2022-08-01,243.1736501279887,217.8028098812279,365.0,6
110,2022-09-01,240.9579959121761,304.5513119742796,295.0,6
111,2022-10-01,258.7409933068725,266.10212717992965,322.0,6
112,2022-11-01,235.4634954319799,286.3821955660838,311.0,6
113,2022-12-01,192.33017044960573,283.1575368886059,190.0,6
114,2023-01-01,233.5213014992601,209.4917426734803,271.0,6
115,2023-02-01,224.17062008860117,259.74806063512494,282.0,6
116,2023-03-01,254.1714043766364,268.32573937475536,353.0,6
117,2023-04-01,231.92146744461303,315.16546343039545,265.0,6
118,2023-05-01,240.98301828059172,263.30747575405815,315.0,6
119,2023-06-01,216.2703852464605,295.77361645164365,256.0,6
120,2023-07-01,233.04974959810448,260.664704893184,,6
121,2023-08-01,268.66778310688665,263.821275316655,,6
122,2023-09-01,266.1986686017416,266.1544745170068,,6
123,2023-10-01,283.4427763094682,268.0381513540181,,6
124,2023-11-01,260.74460608734563,269.6764099040291,,6
125,2023-12-01,218.52201516548607,271.1806814925314,,6
126,2024-01-01,259.9751142419282,272.611802436582,,6
127,2024-02-01,249.92591381779272,274.0029865336182,,6
128,2024-03-01,285.13797226296,275.37236697107744,,6
129,2024-04-01,257.4316998628096,276.7298436252767,,6
130,2024-05-01,264.2959858251172,278.0808213678873,,6
131,2024-06-01,240.7632041404175,279.42825100726765,,6
108,2022-07-01,72.56061772270058,82.77937870373626,110.0,7
109,2022-08-01,85.96868335894371,89.11608516778188,80.0,7
110,2022-09-01,82.23597097575743,76.44267223969065,65.0,7
111,2022-10-01,83.74661953608998,70.10596577564503,83.0,7
112,2022-11-01,72.90471751036739,77.71001353249977,80.0,7
113,2022-12-01,61.26051585972967,76.44267223969065,61.0,7
114,2023-01-01,80.35309544754138,68.41617738523287,65.0,7
115,2023-02-01,73.46443919225577,70.10596577564503,67.0,7
116,2023-03-01,81.8549812494807,70.95085997085111,97.0,7
117,2023-04-01,73.51369082458547,83.62427289894235,58.0,7
118,2023-05-01,78.8638600057935,67.14883609242375,84.0,7
119,2023-06-01,67.02462395607209,78.13246063010281,67.0,7
120,2023-07-01,73.58822192819972,70.95085997085111,,7
121,2023-08-01,86.24490603877554,72.6198892985732,,7
122,2023-09-01,82.26062761599411,73.32496589388376,,7
123,2023-10-01,84.07048271764799,73.62282345516053,,7
124,2023-11-01,73.38185270970452,73.74865251742102,,7
125,2023-12-01,61.954790853066775,73.80180863956708,,7
126,2024-01-01,81.05914841262803,73.82426428908752,,7
